NAME,DP05_0001E,DP05_0018E,DP05_0019PE,DP05_0024PE,DP02_0038PE,DP02_0065PE,DP02_0072PE,DP03_0009PE,DP03_0062E,DP03_0099PE,DP04_0003PE,DP04_0047PE,DP04_0058PE,DP04_0134E,state,county
"Yuma County, Arizona",204374,35.3,25.1,19.7,38.8,10.7,12.9,8.3,56439,13.5,19.5,30.9,5.3,950,04,027
"Arkansas County, Arkansas",17024,41.4,22.9,19.9,18.1,10.4,20.9,6.5,58695,6.3,24.8,33.8,9.7,749,05,001
"Ashley County, Arkansas",19018,43.1,22.6,21.1,26.9,8.2,22.9,6.0,44804,8.4,23.7,25.7,8.9,610,05,003
"Baxter County, Arkansas",41801,52.1,17.6,31.1,32.7,12.5,26.1,5.1,47403,6.5,16.4,25.7,4.4,810,05,005
"Benton County, Arkansas",286528,35.7,25.7,13.6,27.2,22.9,10.0,2.9,85269,9.4,9.0,32.2,2.8,1113,05,007
"Boone County, Arkansas",37662,41.9,22.7,20.8,23.7,11.0,20.0,4.4,52275,7.4,12.6,29.9,5.5,687,05,009
"Bradley County, Arkansas",10461,40.2,24.5,18.5,52.4,8.7,20.0,5.6,43688,12.5,29.8,35.1,8.6,636,05,011
"Calhoun County, Arkansas",4773,44.2,18.7,21.4,56.4,7.7,24.5,9.1,60237,8.1,39.5,13.6,3.3,808,05,013
"Carroll County, Arkansas",28362,44.6,22.0,23.1,42.3,14.5,13.9,3.1,56826,12.4,18.0,23.6,5.0,751,05,015
"Chicot County, Arkansas",10234,43.2,21.9,21.3,51.8,12.6,24.4,10.9,36593,9.8,21.9,32.1,11.4,536,05,017
"Clark County, Arkansas",21469,31.7,19.4,16.2,27.8,17.4,21.1,4.1,48071,9.3,20.8,37.6,6.3,690,05,019
"Clay County, Arkansas",14537,42.7,20.9,22.1,55.6,8.7,20.4,5.6,44685,8.0,19.3,26.5,5.9,639,05,021
"Cleburne County, Arkansas",24948,49.5,18.9,27.4,11.6,11.4,22.0,6.0,52780,7.2,32.0,21.3,3.1,844,05,023
"Cleveland County, Arkansas",7548,42.5,20.6,20.8,81.0,10.1,22.4,0.8,48913,3.5,23.9,16.4,7.0,673,05,025
"Columbia County, Arkansas",22707,35.1,21.0,17.2,19.1,13.3,18.8,3.2,47441,7.4,29.2,27.7,4.2,690,05,027
"Conway County, Arkansas",20782,42.2,22.5,19.5,24.8,14.1,24.4,7.1,50282,7.3,12.8,31.8,7.5,698,05,029
"Craighead County, Arkansas",111038,34.4,24.9,13.6,40.3,17.3,18.4,5.9,55169,8.6,10.1,40.3,6.8,870,05,031
"Crawford County, Arkansas",60593,39.2,24.0,17.2,48.3,14.5,19.1,5.3,56702,8.9,10.7,24.5,4.8,789,05,033
"Crittenden County, Arkansas",47945,35.8,27.1,14.6,66.5,12.5,17.5,10.4,51860,8.6,12.9,43.8,9.6,831,05,035
"Cross County, Arkansas",16827,40.7,24.0,18.5,64.4,10.7,19.1,8.1,48129,7.4,13.8,33.8,9.3,815,05,037
"Dallas County, Arkansas",6472,45.8,20.3,24.5,75.0,8.7,28.2,6.0,40085,5.4,34.8,28.4,7.7,563,05,039
"Desha County, Arkansas",11285,40.7,25.3,19.2,59.6,8.3,20.4,5.2,38067,8.9,21.0,37.5,14.6,628,05,041
"Drew County, Arkansas",17309,37.5,23.0,17.8,38.4,17.0,19.0,3.2,44968,4.7,16.6,32.9,7.6,708,05,043
"Faulkner County, Arkansas",124611,33.8,22.6,13.3,31.2,20.2,14.1,3.3,61273,7.8,9.0,37.7,4.8,931,05,045
"Franklin County, Arkansas",17160,42.5,22.6,19.9,59.0,8.7,24.2,5.1,47695,6.7,13.5,26.3,5.6,684,05,047
"Fulton County, Arkansas",12183,47.4,21.1,25.5,0.0,9.5,23.7,1.7,38917,10.6,23.5,15.5,5.4,649,05,049
"Garland County, Arkansas",100021,45.4,19.8,24.0,64.8,15.8,22.1,5.7,54229,9.2,17.5,31.7,6.2,913,05,051
"Grant County, Arkansas",18022,40.2,21.7,18.2,47.7,13.7,19.6,3.3,68598,6.1,12.9,19.7,2.4,802,05,053
"Greene County, Arkansas",45954,37.8,24.1,16.2,25.3,10.6,20.0,7.5,54879,9.1,7.8,35.6,4.9,808,05,055
"Hempstead County, Arkansas",20037,40.4,25.2,18.3,28.6,9.6,20.1,4.4,45049,11.3,23.9,32.3,7.8,764,05,057
"Hot Spring County, Arkansas",33129,42.6,19.6,19.2,35.2,10.1,24.7,4.6,50260,7.7,16.5,21.3,5.9,713,05,059
"Howard County, Arkansas",12779,39.7,25.9,18.1,48.1,9.9,18.4,6.4,44824,12.4,15.3,27.4,4.4,732,05,061
"Independence County, Arkansas",37910,39.1,23.8,17.4,20.1,11.6,19.6,5.2,52361,10.1,13.6,30.6,6.1,774,05,063
"Izard County, Arkansas",13748,47.7,17.3,25.4,18.6,13.3,26.2,7.5,46159,6.8,28.3,22.7,7.2,616,05,065
"Jackson County, Arkansas",16784,40.2,19.5,17.8,34.9,7.8,23.2,10.9,41929,8.4,14.1,33.4,8.0,650,05,067
"Jefferson County, Arkansas",66934,39.5,21.5,17.7,65.1,14.0,19.1,7.8,46855,6.2,21.1,36.7,7.7,820,05,069
"Johnson County, Arkansas",25925,39.0,24.7,16.7,28.4,10.3,20.6,4.8,42470,8.2,13.9,29.6,5.2,710,05,071
"Lafayette County, Arkansas",6277,48.3,19.0,24.2,51.9,7.2,21.7,8.7,40262,9.3,35.5,23.0,7.4,659,05,073
"Lawrence County, Arkansas",16258,39.8,22.5,18.8,52.9,8.7,23.4,6.7,43606,8.8,15.8,32.8,5.5,690,05,075
"Lee County, Arkansas",8666,41.6,18.6,19.7,82.0,6.4,24.8,14.3,33801,7.6,30.8,38.1,21.7,641,05,077
"Lincoln County, Arkansas",13016,40.6,14.7,15.0,34.8,5.5,17.8,4.0,50526,8.2,23.2,21.4,4.8,595,05,079
"Little River County, Arkansas",12024,42.3,22.1,21.1,37.0,11.6,18.3,8.0,58627,4.9,22.1,16.1,4.9,683,05,081
"Logan County, Arkansas",21247,43.5,21.1,20.0,26.5,9.1,22.1,5.5,51131,6.7,14.1,25.9,5.2,693,05,083
"Lonoke County, Arkansas",74292,37.0,25.0,14.0,25.6,13.3,16.2,4.5,68078,7.5,8.8,27.6,4.9,944,05,085
"Madison County, Arkansas",16737,41.1,23.4,19.5,39.4,8.3,19.8,4.8,51514,10.4,18.5,20.2,3.2,718,05,087
"Marion County, Arkansas",16905,51.7,18.4,28.8,31.9,9.0,25.0,7.0,42891,7.3,25.0,17.8,4.2,749,05,089
"Miller County, Arkansas",42682,39.9,23.6,16.6,48.8,9.0,19.3,7.7,47613,10.2,19.8,33.7,8.9,831,05,091
"Mississippi County, Arkansas",40361,37.0,26.0,15.0,64.1,9.2,20.8,9.8,50012,8.3,21.8,39.8,10.4,750,05,093
"Monroe County, Arkansas",6787,45.8,21.6,23.5,70.5,9.8,24.6,11.0,41786,8.7,26.9,36.4,15.6,543,05,095
"Montgomery County, Arkansas",8555,50.5,18.0,27.0,11.4,11.8,26.9,7.3,47103,11.7,34.4,19.6,4.6,637,05,097
"Nevada County, Arkansas",8292,44.7,22.5,21.0,86.9,8.4,22.4,7.8,43421,4.9,27.0,33.3,4.6,773,05,099
"Newton County, Arkansas",7243,48.7,19.4,26.7,38.6,9.4,19.4,3.8,50699,6.1,29.6,25.2,2.2,577,05,101
"Ouachita County, Arkansas",22606,43.9,22.4,20.6,83.7,10.0,26.9,6.5,47348,6.5,29.1,26.2,12.4,723,05,103
"Perry County, Arkansas",10055,44.0,22.4,20.3,35.3,10.9,23.5,4.6,53980,5.3,22.6,24.2,6.1,716,05,105
"Phillips County, Arkansas",16373,39.7,26.4,19.6,84.7,9.6,22.5,13.3,37458,7.6,26.7,46.3,13.9,719,05,107
"Pike County, Arkansas",10205,43.3,21.7,20.5,6.9,12.1,24.0,3.1,49248,10.2,24.7,24.6,4.9,657,05,109
"Poinsett County, Arkansas",22997,39.9,23.9,18.3,5.3,8.3,23.6,5.1,43440,9.3,12.8,36.4,8.7,642,05,111
"Polk County, Arkansas",19384,44.4,22.7,22.7,8.6,11.2,21.9,9.0,48449,9.5,20.0,20.1,5.3,730,05,113
"Pope County, Arkansas",63475,36.7,22.9,15.9,46.5,15.7,18.9,4.8,51678,8.5,12.1,28.0,4.5,810,05,115
"Prairie County, Arkansas",8217,46.5,20.0,23.6,48.2,9.9,23.3,4.1,47045,7.2,19.3,22.7,4.6,645,05,117
"Pulaski County, Arkansas",398322,37.7,23.0,16.2,36.2,21.8,15.6,5.2,58326,8.8,12.1,41.9,7.4,985,05,119
"Randolph County, Arkansas",18619,39.1,23.8,19.7,55.8,9.8,22.3,7.5,45993,7.5,16.3,26.6,6.0,674,05,121
"St. Francis County, Arkansas",23138,38.8,21.3,17.4,71.2,7.4,20.9,6.6,39822,8.7,16.1,45.8,12.9,748,05,123
"Saline County, Arkansas",123988,40.3,23.0,18.3,28.4,19.6,15.8,3.8,73236,5.8,6.7,21.8,3.7,948,05,125
"Scott County, Arkansas",9871,42.8,23.2,20.8,4.2,9.2,20.3,5.7,45340,10.5,20.1,25.7,9.3,702,05,127
"Searcy County, Arkansas",7880,46.9,20.2,25.3,23.1,11.1,26.5,5.2,42063,5.7,37.6,26.7,7.7,611,05,129
"Sebastian County, Arkansas",128184,38.0,23.8,16.5,47.9,15.1,20.9,5.2,54047,11.2,8.9,39.9,6.3,805,05,131
"Sevier County, Arkansas",15913,34.9,28.3,13.7,32.3,7.8,14.0,4.6,53567,18.4,18.1,35.0,4.7,700,05,133
"Sharp County, Arkansas",17422,47.4,20.7,25.3,61.5,7.5,24.3,6.2,43332,5.8,27.6,19.8,4.8,610,05,135
"Stone County, Arkansas",12393,49.5,19.8,27.3,0.0,9.3,27.9,5.4,37664,8.6,30.4,27.7,7.6,669,05,137
"Union County, Arkansas",38815,41.3,23.9,18.4,40.8,12.3,16.3,3.7,49745,6.2,20.2,27.3,5.2,775,05,139
"Van Buren County, Arkansas",15900,49.7,19.4,26.8,22.5,10.4,26.4,4.7,45768,9.4,29.7,20.9,6.4,716,05,141
"Washington County, Arkansas",247331,32.3,23.7,12.0,25.9,20.1,11.0,4.3,61985,12.2,7.1,45.4,4.6,935,05,143
"White County, Arkansas",77118,38.3,23.2,16.5,36.0,12.0,18.7,5.2,51144,9.6,13.8,33.6,6.3,793,05,145
"Woodruff County, Arkansas",6259,45.2,21.5,24.0,58.0,8.5,18.1,6.7,49608,6.9,20.2,30.9,10.9,582,05,147
"Yell County, Arkansas",20342,40.0,23.8,17.5,52.5,9.4,18.2,3.9,55879,8.2,16.6,31.5,5.8,647,05,149
"Alameda County, California",1663823,38.4,20.0,14.6,22.4,28.8,9.5,4.9,122488,4.0,5.9,45.8,9.3,2229,06,001
"Alpine County, California",1515,43.0,22.8,25.5,0.0,23.2,13.5,4.9,101125,6.4,73.1,17.2,3.4,-666666666,06,003
"Amador County, California",40577,49.6,15.4,26.9,1.4,14.4,18.1,6.0,74853,4.8,16.3,21.0,5.4,1257,06,005
"Butte County, California",213605,36.5,20.1,18.2,37.3,20.2,16.4,7.1,66085,6.6,10.5,41.9,6.1,1280,06,007
"Calaveras County, California",45674,52.1,16.8,28.8,23.6,14.5,21.3,6.2,77526,5.8,37.5,17.9,2.1,1621,06,009
"Colusa County, California",21811,36.0,26.6,15.1,24.9,10.9,13.1,7.4,69619,9.1,8.3,36.9,4.6,1061,06,011
"Contra Costa County, California",1162648,40.1,22.2,16.4,27.6,27.2,11.2,5.8,120020,4.7,3.7,32.8,5.1,2234,06,013
